Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-03-17,31.73,32.1,31.636,31.96,11294914.0,0.0,1.0,30.316338089608497,30.66985353534298,30.226526057448922,30.536090934254254,11294914.0
2016-03-18,32.08,32.38,31.91,31.96,15431567.0,0.0,1.0,30.6507445923303,30.937378737520426,30.48831857672257,30.536090934254254,15431567.0
2016-03-21,32.11,32.19,31.75,32.08,7396392.0,0.0,1.0,30.679408006849314,30.75584377890001,30.335447032621172,30.6507445923303,7396392.0
2016-03-22,32.08,32.21,31.76,31.9,8195286.0,0.0,1.0,30.6507445923303,30.77495272191269,30.34500150412751,30.47876410521623,8195286.0
2016-03-23,31.92,31.93,31.17,31.31,9105813.0,0.0,1.0,30.497873048228907,30.50742751973524,29.781287685253602,29.915050286342325,9105813.0
2016-03-24,30.88,30.97,30.39,30.96,12041022.0,0.0,1.0,29.50420801156982,29.590198255126854,29.036038907759288,29.58064378362052,12041022.0
2016-03-28,31.13,31.25,30.94,31.02,6109293.0,0.0,1.0,29.743069799228252,29.857723457304303,29.561534840607845,29.637970612658542,6109293.0
2016-03-29,31.04,31.28,30.58,31.19,13667755.0,0.0,1.0,29.657079555671217,29.886386871823316,29.217573866379695,29.800396628266277,13667755.0
2016-03-30,31.44,31.67,30.955,30.99,13377401.0,0.0,1.0,30.039258415924714,30.25901126057047,29.575866547867346,29.60930719813953,13377401.0
2016-03-31,31.01,31.59,31.0,31.43,10208995.0,0.0,1.0,29.628416141152204,30.18257548851977,29.618861669645867,30.029703944418372,10208995.0
2016-04-01,31.18,31.2,30.32,30.47,17418124.0,0.0,1.0,29.79084215675994,29.809951099772615,28.969157607214925,29.112474679809985,17418124.0
2016-04-04,30.4,30.48,29.75,29.9,12165972.0,0.0,1.0,29.045593379265622,29.122029151316323,28.424552731353696,28.567869803948753,12165972.0
2016-04-05,29.67,29.73,29.35,29.6,9101869.0,0.0,1.0,28.348116959303,28.40544378834102,28.0423738711002,28.281235658758636,9101869.0
2016-04-06,29.66,29.95,29.3,29.94,9619877.0,0.0,1.0,28.338562487796658,28.61564216148044,27.994601513568515,28.606087689974107,9619877.0
2016-04-07,29.85,29.95,29.18,29.42,12864618.0,0.0,1.0,28.52009744641707,28.61564216148044,27.879947855492464,28.109255171644563,12864618.0
2016-04-08,29.67,29.76,29.23,29.37,8842431.0,0.0,1.0,28.348116959303,28.434107202860034,27.927720213024152,28.061482814112875,8842431.0
2016-04-11,29.49,30.04,29.48,29.53,8864568.0,0.0,1.0,28.176136472188922,28.70163240503748,28.166582000682585,28.214354358214273,8864568.0
2016-04-12,29.56,29.77,29.27,29.71,11214445.0,0.0,1.0,28.243017772733282,28.443661674366368,27.9659380990495,28.386334845328346,11214445.0
2016-04-13,30.01,30.87,29.94,30.78,11076770.0,0.0,1.0,28.672968990518466,29.49465354006348,28.606087689974107,29.408663296506447,11076770.0
2016-04-14,30.84,31.05,30.64,30.72,8198645.0,0.0,1.0,29.46599012554447,29.666634027177555,29.27490069541772,29.351336467468418,8198645.0
2016-04-15,30.68,30.85,30.405,30.56,8260763.0,0.0,1.0,29.31311858144307,29.475544597050806,29.050370615018792,29.19846492336702,8260763.0
2016-04-18,30.76,31.37,30.61,31.31,15741996.0,0.0,1.0,29.38955435349377,29.97237711538035,29.246237280898708,29.915050286342325,15741996.0
2016-04-19,31.65,32.16,31.6102,31.97,14407757.0,0.0,1.0,30.239902317557796,30.727180364381,30.201875520962574,30.54564540576059,14407757.0
2016-04-20,32.0,32.41,32.0,32.19,12910452.0,0.0,1.0,30.574308820279605,30.966042152039435,30.574308820279605,30.75584377890001,12910452.0
2016-04-21,33.18,33.41,32.47,32.66,22791998.0,0.0,1.0,31.701736458027415,31.921489302673173,31.02336898107746,31.204903939697868,22791998.0
2016-04-22,32.66,32.79,32.12,32.18,13824407.0,0.0,1.0,31.204903939697868,31.329112069280256,30.688962478355652,30.746289307393678,13824407.0
